ethnicity,n,raw_pearson,norm_pearson,raw_spearman,norm_spearman,d_pearson
Black,184.0,0.3292629837615606,0.3292629837615606,0.34152979279389145,0.34152979279389145,0.0
East Asian,235.0,0.24546507797464837,0.2454650779746484,0.23378539978055676,0.23378539978055676,2.7755575615628914e-17
Indian,214.0,0.21556346106860103,0.21556346106860105,0.18166851665847566,0.18166851665847566,2.7755575615628914e-17
Latino_Hispanic,200.0,0.09720581241459526,0.09720581241459525,0.08036221554980476,0.08036221554980476,-1.3877787807814457e-17
Middle Eastern,211.0,0.31805422625230706,0.31805422625230706,0.29261422429257017,0.29261422429257017,0.0
White,719.0,0.08662108676126382,0.08662108676126386,0.06844677705049013,0.06844677705049013,4.163336342344337e-17
ALL,1763.0,0.23608598215529444,0.20899414972430222,0.21721412237174337,0.18965885264856325,-0.027091832430992224
