region,mu,sigma,n,z_vs_global
Middle Eastern,50.36800212167263,15.591311562794624,3874,1.2011043703555275
White,50.06874479864257,15.265863613461413,6488,1.1180274111674504
Indian,47.75971947448319,13.960443435482492,4763,0.4770178589963416
Latino_Hispanic,46.82624669877916,14.479535976314018,5236,0.21787606455292033
Southeast Asian,42.5520362790988,13.696107473516484,4538,-0.9686894002506525
East Asian,42.47941951651322,14.03436319144906,5048,-0.9888485721653417
Black,42.23577176750637,14.5580337782156,4953,-1.0564877326562456
